SynId,NeuronType,NeuronId,SynType,UMAP_1,UMAP_2,Cluster,clusterid
18,calretinin,cr2,as,8.762657,6.1752486,2,as
19,calretinin,cr2,as,8.552252,5.751813,2,as
20,calretinin,cr2,as,7.803998,5.9964485,2,as
21,calretinin,cr2,as,8.677187,6.335328,2,as
22,calretinin,cr2,as,6.995867,5.3822002,2,as
23,calretinin,cr2,as,8.136351,6.4778996,2,as
24,calretinin,cr2,as,7.6077476,7.6668105,-1,as
25,calretinin,cr2,as,8.484053,9.089003,-1,as
26,calretinin,cr2,as,7.2619743,7.7531796,4,as
27,calretinin,cr2,as,7.170535,8.785509,4,as
28,calretinin,cr2,as,6.3214674,6.675306,2,as
29,calretinin,cr2,as,6.6474433,8.754924,4,as
30,calretinin,cr2,as,7.388925,9.640028,4,as
31,calretinin,cr2,as,6.3476663,6.0518365,2,as
32,calretinin,cr2,as,6.279453,10.700845,4,as
33,calretinin,cr2,as,6.3457236,10.730551,4,as
34,calretinin,cr2,as,6.1818004,10.669091,4,as
35,calretinin,cr2,as,5.172079,9.69025,4,as
36,calretinin,cr2,as,5.6886377,11.033053,4,as
37,calretinin,cr2,as,4.284607,9.731944,3,as
38,calretinin,cr2,as,3.732402,8.545764,3,as
39,calretinin,cr2,as,3.1577911,9.905656,3,as
40,calretinin,cr2,as,3.4660027,8.155697,3,as
41,calretinin,cr2,as,2.1351812,9.627666,3,as
42,calretinin,cr2,as,2.0345995,9.714649,3,as
43,calretinin,cr2,as,1.8360097,9.953721,3,as
44,calretinin,cr2,as,1.7336612,9.554066,3,as
45,calretinin,cr2,as,1.7637494,10.103142,3,as
46,calretinin,cr2,as,1.3283284,9.2086,3,as
1,calretinin,cr3,as,12.866382,-0.14827281,1,as
2,calretinin,cr3,as,11.882401,1.5593807,1,as
3,calretinin,cr3,as,8.712157,4.2673974,2,as
4,calretinin,cr3,as,8.8734255,4.607268,2,as
5,calretinin,cr3,as,7.4538593,4.7821364,2,as
6,calretinin,cr3,as,10.936604,5.8782816,2,as
7,calretinin,cr3,as,9.105013,6.428974,2,as
8,calretinin,cr3,as,8.549737,9.059865,-1,as
9,calretinin,cr3,as,7.5058265,7.286323,4,as
10,calretinin,cr3,as,7.2244596,9.972171,4,as
11,calretinin,cr3,as,6.7210636,9.285938,4,as
12,calretinin,cr3,as,6.8723288,10.026371,4,as
13,calretinin,cr3,as,5.421253,8.214423,4,as
14,calretinin,cr3,as,6.1814437,10.685383,4,as
15,calretinin,cr3,as,5.2016006,9.76024,4,as
16,calretinin,cr3,as,3.8626933,8.282404,3,as
17,calretinin,cr3,as,4.1530304,9.821195,3,as
18,calretinin,cr3,as,3.550362,9.919144,3,as
19,calretinin,cr3,as,2.9178057,10.2032795,3,as
20,calretinin,cr3,as,2.8157628,10.105886,3,as
21,calretinin,cr3,as,1.9990351,10.097186,3,as
22,calretinin,cr3,as,1.8518423,9.640005,3,as
2,parvalbumin,pv1,as,11.413757,4.669471,2,as
3,parvalbumin,pv1,as,7.5550036,4.6649904,2,as
4,parvalbumin,pv1,as,10.676989,5.8041115,2,as
5,parvalbumin,pv1,as,11.307363,6.1599274,2,as
6,parvalbumin,pv1,as,11.330474,6.071436,2,as
7,parvalbumin,pv1,as,11.259621,5.966596,2,as
8,parvalbumin,pv1,as,7.402786,4.844727,2,as
9,parvalbumin,pv1,as,11.288353,6.058626,2,as
10,parvalbumin,pv1,as,11.199836,5.2310777,2,as
11,parvalbumin,pv1,as,11.194491,5.664546,2,as
